,name,u,v
418,West 45th Street,261199215,261213373
419,West 45th Street,261199215,261131956
420,South Sawyer Avenue,261199216,261199215
421,West 46th Street,261199216,2352761093
422,West 46th Street,261199216,261213374
423,West 43rd Street,261199259,261213410
424,West 43rd Street,261199259,261131962
425,South Campbell Avenue,261201101,418469311
426,West 38th Street,261201101,261204045
427,West 38th Street,261201101,418469871
428,South Campbell Avenue,261201101,537959777
429,South Campbell Avenue,261201103,261193993
430,West 39th Place,261201103,261256913
431,West 40th Street,261201104,261339433
432,West 40th Street,261201104,261222149
433,South Campbell Avenue,261201104,261201103
434,South Campbell Avenue,261201105,261163826
435,West Pope John Paul II Drive,261201105,261336589
436,West 44th Street,261201106,261308995
437,West 44th Street,261201106,261222151
438,South Campbell Avenue,261201106,261201105
439,West 45th Street,261201107,261222152
440,South Campbell Avenue,261201107,261201106
441,South Campbell Avenue,261201158,261135282
442,South Campbell Avenue,261201158,418457998
443,West 47th Place,261201158,261295805
444,West 40th Place,261202670,261202671
445,South Sacramento Avenue,261202670,261297090
446,South Sacramento Avenue,261202670,261313930
447,South Albany Avenue,261202671,261339428
448,West 40th Place,261202671,261131969
449,South Rockwell Street,261202672,261301731
450,South Rockwell Street,261202672,261339434
451,West 40th Place,261202672,261162577
452,West 38th Street,261204045,261204046
453,West 38th Street,261204045,261201101
454,South Maplewood Avenue,261204045,261350104
455,South Maplewood Avenue,261204046,261350118
456,West 38th Street,261204046,261204048
457,West 38th Street,261204046,261204045
458,South Rockwell Street,261204048,261350118
459,West 38th Street,261204048,261204046
460,South Rockwell Street,261204048,261154090
461,West 38th Street,261204048,261204049
462,West 38th Street,261204049,261142051
463,West 38th Street,261204049,261204048
464,South Washtenaw Avenue,261204049,261271627
465,West 38th Street,261204050,261164014
466,West 38th Street,261204050,261204052
467,"['South Sacramento Avenue', 'West 37th Place']",261204050,261154075
468,South Sacramento Avenue,261204050,261313928
469,South Albany Avenue,261204052,261154075
470,West 38th Street,261204052,261132001
471,West 38th Street,261204052,261204050
472,West 38th Street,261204053,261169865
473,South Spaulding Avenue,261204053,261213371
474,South Spaulding Avenue,261204053,261154071
475,West 38th Street,261204053,261132001
476,South Spaulding Avenue,261213370,261154071
477,West 38th Place,261213371,261169866
478,South Spaulding Avenue,261213371,261194003
479,South Spaulding Avenue,261213371,261204053
480,West 38th Place,261213371,261132000
481,South Spaulding Avenue,261213373,261213374
482,South Spaulding Avenue,261213373,418463071
483,West 45th Street,261213373,261199215
484,South Spaulding Avenue,261213374,418461413
485,West 46th Street,261213374,261272709
486,West 46th Street,261213374,261199216
487,West 43rd Street,261213410,261302410
